,Artist,Song Title,Link,Start Time
1,Wallows,Scrawny,https://www.youtube.com/watch?v=zgOR698RMLY,0:00:00
2,Beach Bunny,Entropy,https://www.youtube.com/watch?v=BYiraKCTViY,0:00:10
3,Olivia Rodrigo,Traitor,https://www.youtube.com/watch?v=KGczofguB0c,0:04:10
4,Teen Jesus and the Jean Teasers,Girl Sports,https://www.youtube.com/watch?v=NhS46GfvUS8,0:00:15
5,Stonefield,Visions,https://www.youtube.com/watch?v=qYNM1Vd-aqo,0:01:07
6,Telenova,Tranquilize ,https://www.youtube.com/watch?v=E_ueIZqIsOo,0:00:24
7,chloe moriondo,dizzy ,https://www.youtube.com/watch?v=PGgJGjYvdCs,0:00:05
8,Sturgill Simpson,You Can Have The Crown,https://www.youtube.com/watch?v=tNV16tz1NK0,0:01:20
9,Pipe-Eye,People Move Along,https://www.youtube.com/watch?v=CEi22b_CRfs,0:00:34
10,Wolf Alice,Sense (King Gizzard & The Lizard Wizard Cover),https://www.youtube.com/watch?v=WG5JEtwp9U8,0:01:30
11,Thee Oh Sees,Web,https://www.youtube.com/watch?v=LCU2VEoKecs,0:01:09
12,Hana Vu,Everybody's Birthday,https://www.youtube.com/watch?v=MwmsSOkldeM,0:01:28
13,Wallice,Funeral,https://www.youtube.com/watch?v=ZI4sIxAoCxM,0:01:00
14,King Gizzard & The Lizard Wizard,The Lord of Lightning,https://www.youtube.com/watch?v=Rd3vwwXArMQ,0:01:24
15,Tame Impala,Is It True,https://www.youtube.com/watch?v=C24hUt18RWY,0:07:20
16,Wet Leg,Oh No,https://www.youtube.com/watch?v=bJUUnXZVIfY,0:08:00
17,Maisie Peters,Maybe Don't (feat. JP Saxe),https://www.youtube.com/watch?v=IiXUgXd3Qe0,0:01:30
18,Psychedelic Porn Crumpets,I Wanna Be Like You (Jungle Book Cover),https://www.youtube.com/watch?v=bD0VpmaSBjs,0:00:24
19,Alex Lahey,Every Day's The Weekend,https://www.youtube.com/watch?v=tBj_magluuc,0:01:30
20,The Wiggles,Elephant (Tame Impala Cover),https://www.youtube.com/watch?v=a13WnqsRc5g,0:00:05
21,The Regrettes,That's What Makes Me Love You,https://www.youtube.com/watch?v=JcPEPvDohto,0:00:07
22,The Murlocs,Unknown Disease,https://www.youtube.com/watch?v=Iot_gMqf6mU,0:00:00
23,Sputnik Sweetheart,Us Girls,https://www.youtube.com/watch?v=-lA4Monlx3I,0:01:00
24,mxmtoon,sad disco,https://www.youtube.com/watch?v=oplBhVfrkuM,0:00:10
25,Uncle Acid & The Deadbeats,I'll Cut You Down,https://www.youtube.com/watch?v=zfNHX5k9N-A,0:02:00
26,Sawyer,Emotional Girls,https://www.youtube.com/watch?v=R6PVdBkKoec,0:01:02
27,Maggie Rogers,Want Want,https://www.youtube.com/watch?v=SylF32J2g8k,0:00:15
28,HONEYMOAN,Too Much,https://www.youtube.com/watch?v=AG9GJfI7xYQ,0:01:45
29,Telenova,Hung Up (Madonna Cover),https://www.youtube.com/watch?v=HIJQv_KcXHY,0:01:26
30,King Gizzard & The Lizard Wizard,Rattlesnake,https://www.youtube.com/watch?v=Q-i1XZc8ZwA,0:00:20
